year_month,n_tenders,n_lots,total_value,avg_lot_price,median_lot_price,avg_bids,avg_valid_bids,n_lots_one_bid,share_one_bid
2008-04,1,1,239252.92,239252.92,239252.92,7.0,,0.0,0.0
2008-05,1,1,549845.01,549845.01,549845.01,4.0,,0.0,0.0
2008-08,1,1,200390.91,200390.91,200390.91,1.0,,1.0,1.0
2008-09,2,2,480911.08,240455.54,240455.54,2.5,,0.0,0.0
2008-10,5,5,1347019.16,269403.832,277226.6,4.8,,0.0,0.0
2008-11,11,11,4398516.67,399865.1518181818,141176.0,3.0,,1.0,0.09090909090909091
2008-12,20,22,6924859.61,314766.34590909095,130829.16500000001,6.315789473684211,,1.0,0.045454545454545456
2009-01,70,103,8800942.89,85446.04747572816,15029.0,4.0,,12.0,0.11650485436893204
2009-02,50,53,8349221.16,157532.47471698115,38220.96,5.74,,5.0,0.09433962264150944
2009-03,51,60,6272334.62,104538.91033333333,27660.0,9.071428571428571,,3.0,0.05
2009-04,58,65,14056955.36,216260.85169230768,18357.74,7.435483870967742,,6.0,0.09230769230769231
2009-05,56,69,10108743.92,146503.53507246377,9973.0,8.138461538461538,,5.0,0.07246376811594203
2009-06,76,107,20214650.65,188921.96869158876,11797.0,6.028846153846154,,9.0,0.08411214953271028
2009-07,80,90,16877830.830000002,187531.4536666667,23916.5,6.188235294117647,,6.0,0.06666666666666667
2009-08,91,124,11373306.04,91720.20999999999,9002.0,5.319672131147541,,21.0,0.1693548387096774
2009-09,104,142,15068320.040000001,106114.92985915493,14917.0,6.841726618705036,,9.0,0.06338028169014084
2009-10,100,151,10807905.95,71575.53609271522,7533.0,4.78,,23.0,0.152317880794702
2009-11,110,150,12825675.44,85504.50293333334,12022.0,4.493333333333333,,25.0,0.16666666666666666
2009-12,136,211,12822672.35,60770.959004739336,6426.0,3.8904761904761904,,45.0,0.2132701421800948
2010-01,77,108,13779631.6,127589.18148148147,13246.0,5.450980392156863,5.5,15.0,0.1388888888888889
2010-02,48,82,4182719.05,51008.76890243902,8836.5,5.475,5.349206349206349,9.0,0.10975609756097561
2010-03,72,112,10298207.61,91948.28223214285,13340.5,4.809523809523809,4.4,11.0,0.09821428571428571
2010-04,88,125,11424550.08,91396.40064,14152.0,5.669724770642202,5.212121212121212,11.0,0.088
2010-05,84,127,12581331.87,99065.60527559054,15136.0,5.408,4.291139240506329,21.0,0.16535433070866143
2010-06,93,130,14583753.07,112182.71592307693,14596.5,5.975806451612903,5.172413793103448,17.0,0.13076923076923078
2010-07,119,153,10851071.15,70922.03366013072,13423.0,4.587837837837838,3.900990099009901,26.0,0.16993464052287582
2010-08,125,161,9889112.26,61423.05751552795,17000.0,4.120253164556962,3.2777777777777777,27.0,0.16770186335403728
2010-09,113,185,9870782.620000001,53355.58172972973,11949.0,3.848314606741573,3.126865671641791,40.0,0.21621621621621623
2010-10,130,178,12059857.87,67752.01050561797,15770.0,3.539772727272727,2.826771653543307,38.0,0.21348314606741572
2010-11,126,206,12269863.7,59562.44514563106,7097.5,2.735294117647059,2.2366863905325443,86.0,0.4174757281553398
2010-12,114,164,7078967.04,43164.43317073171,8870.5,3.6932515337423313,3.159090909090909,30.0,0.18292682926829268
2011-01,71,178,20677884.54,116167.8906741573,17241.0,3.2923976608187133,2.962025316455696,50.0,0.2808988764044944
2011-02,67,127,16292019.709999999,128283.61976377953,12908.0,8.966386554621849,3.111111111111111,19.0,0.14960629921259844
2011-03,91,216,30152818.51,139596.38199074075,11101.0,6.328571428571428,5.11214953271028,29.0,0.13425925925925927
2011-04,87,177,11519693.28,65083.01288135593,14380.0,5.023668639053255,5.346153846153846,29.0,0.1638418079096045
2011-05,88,126,9928580.9,78798.26111111112,21741.0,5.226086956521739,4.473684210526316,18.0,0.14285714285714285
2011-06,135,248,20702062.32,83476.05774193548,10091.5,4.962441314553991,4.971223021582734,23.0,0.09274193548387097
2011-07,111,240,17404790.32,72519.95966666666,19357.0,4.466960352422907,3.2644628099173554,47.0,0.19583333333333333
2011-08,132,265,16055336.43,60586.17520754717,11565.0,3.676,2.73125,76.0,0.28679245283018867
2011-09,131,267,17450125.09,65356.27374531835,12358.0,2.653386454183267,2.108433734939759,85.0,0.31835205992509363
2011-10,164,305,20253916.81,66406.28462295081,5720.0,2.892361111111111,2.5297029702970297,109.0,0.35737704918032787
2011-11,159,331,19628761.54,59301.39438066465,8624.0,3.5723905723905722,3.0146341463414634,85.0,0.256797583081571
2011-12,258,502,17335088.44,34532.04868525897,6353.5,3.567510548523207,3.0060422960725077,164.0,0.32669322709163345
2012-01,95,199,8761266.3,44026.46381909548,4326.0,2.8361581920903953,2.5,54.0,0.271356783919598
