year_month,year,month,n_tenders,n_lots,total_value,n_lots_one_bid,total_value_one_bid,share_one_bid_num,share_one_bid_value,avg_bids,median_bids,avg_lot_value,median_lot_value,zero_lots_month,outlier_total_value,outlier_share_value
2008-04,2008,4,1,1,239252.92,0,0.0,0.0,0.0,7.0,7.0,239252.92,239252.92,0,0,0
2008-05,2008,5,1,1,549845.01,0,0.0,0.0,0.0,4.0,4.0,549845.01,549845.01,0,0,0
2008-06,2008,6,0,0,0.0,0,0.0,NA,NA,NA,NA,NA,NA,1,0,0
2008-07,2008,7,0,0,0.0,0,0.0,NA,NA,NA,NA,NA,NA,1,0,0
2008-08,2008,8,1,1,200390.91,1,200390.91,1.0,1.0,1.0,1.0,200390.91,200390.91,0,0,1
2008-09,2008,9,2,2,480911.08,0,0.0,0.0,0.0,2.5,2.5,240455.54,240455.54,0,0,0
2008-10,2008,10,5,5,1347019.16,0,0.0,0.0,0.0,4.8,5.0,269403.832,277226.6,0,0,0
2008-11,2008,11,10,10,4364610.31,1,1987849.4,0.1,0.45544716682850894,3.0,3.0,436461.03099999996,151931.375,0,0,0
2008-12,2008,12,17,19,6338722.49,1,78546.86,0.05263157894736842,0.012391591542919873,6.315789473684211,5.0,333616.97315789474,125723.33,0,0,0
2009-01,2009,1,52,80,5905150.81,12,1789077.23,0.15,0.30296893128797164,4.0,3.0,73814.385125,9120.0,0,0,0
2009-02,2009,2,47,50,8025253.69,5,462960.68,0.1,0.057687980702327175,5.74,4.0,160505.0738,39970.479999999996,0,0,0
2009-03,2009,3,47,56,5462978.0,3,299293.0,0.05357142857142857,0.05478568648821211,9.071428571428571,5.0,97553.17857142857,24954.5,0,0,0
2009-04,2009,4,55,62,12428575.57,6,186401.74,0.0967741935483871,0.014997836151870458,7.435483870967742,5.0,200460.8962903226,15721.5,0,0,0
2009-05,2009,5,53,65,9736589.92,5,220660.0,0.07692307692307693,0.022662965351631037,8.138461538461538,4.0,149793.69107692307,9255.0,0,0,0
2009-06,2009,6,73,104,20085229.38,9,839738.23,0.08653846153846154,0.04180874482997814,6.028846153846154,5.0,193127.20557692306,10845.5,0,0,0
