year_quarter,n_tenders,n_lots,total_value,avg_lot_price,median_lot_price,avg_bids,n_lots_one_bid,share_one_bid
2008Q2,2,2,789097.93,394548.965,394548.965,5.5,0.0,0.0
2008Q3,3,3,681301.99,227100.66333333333,200390.91,2.0,1.0,0.3333333333333333
2008Q4,36,38,12670395.44,333431.45894736843,138555.5,5.117647058823529,2.0,0.05263157894736842
2009Q1,171,216,23422498.669999998,108437.49384259258,19841.5,5.994623655913978,20.0,0.09259259259259259
2009Q2,190,241,44380349.93,184150.82958506225,12617.0,7.0,20.0,0.08298755186721991
2009Q3,275,356,43319456.91,121683.8677247191,14862.0,6.144508670520231,36.0,0.10112359550561797
2009Q4,346,512,36456253.74,71203.6205859375,7913.5,4.329411764705882,93.0,0.181640625
2010Q1,197,302,28260558.26,93578.00748344371,12247.5,5.2229965156794425,35.0,0.11589403973509933
2010Q2,265,382,38589635.02,101019.98696335079,15058.5,5.684357541899441,49.0,0.12827225130890052
2010Q3,357,499,30610966.03,61344.621302605214,14127.0,4.163223140495868,93.0,0.18637274549098196
2010Q4,370,548,31408688.61,57315.125200729926,11157.5,3.283609576427256,154.0,0.28102189781021897
2011Q1,229,521,67122722.76,128834.4006909789,13185.5,5.918,98.0,0.18809980806142035
2011Q2,310,551,42150336.5,76497.88838475499,14144.22,5.044265593561368,70.0,0.12704174228675136
2011Q3,374,772,50910251.84,65945.92207253886,13408.0,3.5700549450549453,208.0,0.2694300518134715
2011Q4,581,1138,57217766.79,50279.232680140594,6780.0,3.3852691218130313,358.0,0.3145869947275923
2012Q1,285,644,36820907.71,57175.3225310559,5568.0,5.35374149659864,168.0,0.2608695652173913
2012Q2,306,677,26108501.46,38564.99477104875,4731.0,4.282780410742496,134.0,0.19793205317577547
2012Q3,442,1019,55325623.1,54294.03640824338,7377.0,4.430161943319838,198.0,0.1943081452404318
2012Q4,538,1155,40650184.08,35194.96457142857,6358.18,3.508414526129318,414.0,0.35844155844155845
2013Q1,357,871,44792034.79,51425.987129735935,6298.0,4.0504305043050435,172.0,0.19747416762342135
2013Q2,330,616,35670824.35,57907.18238636364,11032.0,5.221649484536083,99.0,0.16071428571428573
2013Q3,499,883,49255046.1,55781.47916194791,9248.0,3.6102117061021173,182.0,0.20611551528878821
2013Q4,585,1016,41511615.71,40857.88947834646,7957.0,3.618478260869565,231.0,0.22736220472440946
2014Q1,316,644,49913643.29,77505.65728260869,9777.5,3.918006430868167,122.0,0.18944099378881987
2014Q2,341,694,46862928.7,67525.83386167148,11057.5,3.959090909090909,139.0,0.20028818443804033
2014Q3,483,863,54550469.14,63210.277103128625,11551.0,3.39549436795995,209.0,0.2421784472769409
2014Q4,440,837,47008851.61,56163.502520908005,11236.0,3.2822164948453607,209.0,0.24970131421744324
2015Q1,248,469,31229794.26,66588.04746268658,12609.0,4.077830188679245,88.0,0.18763326226012794
2015Q2,371,710,62755114.36,88387.48501408451,14267.0,4.461773700305811,90.0,0.1267605633802817
2015Q3,412,723,49862129.4,68965.60082987552,19176.0,3.5720461095100866,116.0,0.16044260027662519
2015Q4,428,744,54257189.26,72926.32965053763,16849.0,3.8276877761413846,124.0,0.16666666666666666
2016Q1,278,456,92771592.09,203446.47388157895,14661.5,4.95421686746988,68.0,0.14912280701754385
2016Q2,452,710,77583939.43,109273.15412676058,10650.835,5.86286594761171,98.0,0.13802816901408452
2016Q3,519,754,46854725.66,62141.545968169754,13966.5,4.428571428571429,153.0,0.20291777188328913
2016Q4,459,655,46585786.11,71123.33757251909,9165.83,4.138211382113822,109.0,0.166412213740458
2017Q1,351,616,59310938.98,96283.99185064934,8630.0,4.4965753424657535,96.0,0.15584415584415584
2017Q2,426,782,113703481.06,145400.87092071612,12969.85,4.389972144846797,132.0,0.16879795396419436
2017Q3,426,774,60766128.78,78509.21031007753,15462.02,3.466854724964739,181.0,0.23385012919896642
2017Q4,473,732,66842142.24,91314.40196721311,18946.29,3.31970802919708,170.0,0.23224043715846995
2018Q1,296,703,52825473.99,75142.92174964439,12863.0,3.5309734513274336,111.0,0.15789473684210525
2018Q2,450,703,69840072.0,99345.7638691323,17905.0,3.178628389154705,186.0,0.26458036984352773
2018Q3,572,891,84431732.58,94760.64262626262,18156.96,2.868772782503038,326.0,0.3658810325476992
2018Q4,725,1108,74133115.2,66907.14368231047,11685.445,2.877952755905512,332.0,0.2996389891696751
